LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
1,7,0,0,4,3,1,11,25.05,11.2,3142.03,0.09,59,0.09,174.56,280.54,28,31,15,12,14,0
5,37,0,6,19,16,10,85,81.19,27.41,60987.96,0.74,351,0.04,3388.22,2225.29,147,204,59,22,98,0
2,1,0,0,1,1,1,10,56.44,2.83,453.08,0.05,37,0.35,25.17,159.91,17,20,15,5,14,1
16,1,0,0,1,1,1,52,168.57,16.97,48553.53,0.95,450,0.06,2697.42,2860.9,198,252,70,12,70,1
0,7,0,0,4,2,3,9,14.32,7.71,852.01,0.04,26,0.13,47.33,110.45,9,17,7,12,12,0
8,5,0,0,3,3,1,34,33.85,32.25,35218.8,0.36,188,0.03,1956.6,1091.78,80,108,31,25,42,0
1,7,0,0,4,3,4,5,17.28,5.79,578.57,0.03,25,0.17,32.14,100.0,9,16,7,9,8,0
12,25,0,6,13,7,10,110,45.65,53.63,131272.91,0.82,405,0.02,7292.94,2447.98,165,240,40,26,131,0
12,13,0,9,7,7,6,54,49.5,35.0,60632.89,0.58,297,0.03,3368.49,1732.37,120,177,36,21,78,0
3,19,0,19,10,6,6,32,29.59,15.24,6868.56,0.15,91,0.07,381.59,450.83,37,54,17,14,56,0
8,19,0,1,10,9,7,43,37.02,28.97,31062.9,0.36,191,0.03,1725.72,1072.41,84,107,29,20,54,0
22,37,0,0,19,15,8,89,53.35,34.59,63844.18,0.62,327,0.03,3546.9,1845.54,123,204,32,18,113,0
2,5,2,0,3,3,1,11,27.12,4.28,496.22,0.04,29,0.23,27.57,116.0,11,18,9,7,17,0
49,11,0,6,6,5,4,138,215.29,34.15,251126.79,2.45,1039,0.03,13951.49,7352.81,444,595,117,18,195,1
1,1,0,0,1,1,1,5,19.72,3.33,219.1,0.02,19,0.3,12.17,65.73,8,11,6,5,8,1
3,8,0,0,5,3,1,25,37.27,16.14,9725.72,0.2,109,0.06,540.32,602.07,42,67,26,20,30,0
2,5,0,0,3,2,3,9,24.67,6.42,1015.92,0.05,35,0.16,56.44,158.32,14,21,12,11,13,0
0,4,0,0,3,2,1,18,26.67,9.0,2160.0,0.08,48,0.11,120.0,240.0,18,30,16,16,20,0
1,3,2,0,2,2,1,9,13.96,6.0,502.57,0.03,22,0.17,27.92,83.76,9,13,6,8,14,0
2,1,0,0,1,1,1,5,24.78,7.2,1284.57,0.06,42,0.14,71.37,178.41,16,26,10,9,9,0
16,27,2,12,14,13,8,62,114.83,11.5,15185.86,0.44,212,0.09,843.66,1320.51,92,120,60,15,94,1
9,9,0,2,5,2,1,23,36.71,14.48,7692.13,0.18,102,0.07,427.34,531.36,38,64,21,16,36,0
2,5,0,1,3,3,1,10,23.28,10.05,2348.96,0.08,51,0.1,130.5,233.83,17,34,11,13,15,0
1,3,0,0,2,2,1,14,20.67,9.35,1807.0,0.06,44,0.11,100.39,193.26,17,27,10,11,17,0
9,21,0,2,11,6,4,51,40.77,33.45,45603.91,0.45,229,0.03,2533.55,1363.51,99,130,37,25,64,0
2,7,0,0,4,1,1,16,15.66,17.5,4797.27,0.09,72,0.06,266.51,274.13,35,37,7,7,20,0
1,3,0,0,2,2,1,7,26.62,7.31,1421.44,0.06,43,0.14,78.97,194.51,19,24,13,10,10,0
2,5,0,0,3,2,1,12,27.12,6.68,1209.56,0.06,39,0.15,67.2,181.11,17,22,14,11,16,0
2,7,0,0,4,3,1,22,31.23,10.66,3546.85,0.11,70,0.09,197.05,332.84,31,39,16,11,26,0
14,12,0,0,11,1,1,62,27.23,24.09,15801.66,0.22,125,0.04,877.87,655.99,39,86,17,21,79,0
3,3,0,2,2,2,1,13,26.48,9.82,2554.12,0.09,56,0.1,141.9,260.06,25,31,14,11,20,0
1,3,0,0,2,2,1,7,22.33,4.38,427.32,0.03,25,0.23,23.74,97.67,10,15,8,7,10,0
22,1,0,5,1,1,1,29,292.71,2.32,1575.46,0.23,118,0.43,87.53,679.08,58,60,50,4,58,1
