Dataset,Model,Fold,Train Size,Test Size,Train Size after SMOTE,Accuracy,Precision_weighted,Recall_weighted,F1_weighted,ROC_AUC,Precision_defective,Recall_defective,F1_defective,PF,Specificity,G_measure,TN,FP,FN,TP
CM1,RF,1,309,35,542,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.6653225806451613,0.25,0.25,0.25,0.0967741935483871,0.9032258064516129,0.39160839160839156,28,3,3,1
CM1,DS,1,309,35,542,0.6857142857142857,0.7591836734693876,0.6857142857142857,0.7205811138014528,0.3870967741935484,0.0,0.0,0.0,0.22580645161290322,0.7741935483870968,0.0,24,7,4,0
CM1,SVM,1,309,35,542,0.7142857142857143,0.8377142857142857,0.7142857142857143,0.760204081632653,0.7338709677419355,0.2,0.5,0.2857142857142857,0.25806451612903225,0.7419354838709677,0.5974025974025974,23,8,2,2
CM1,LR,1,309,35,542,0.8,0.8551020408163266,0.8,0.8221879815100154,0.7580645161290324,0.2857142857142857,0.5,0.36363636363636365,0.16129032258064516,0.8387096774193549,0.6265060240963854,26,5,2,2
CM1,AdaBoost-RF,1,309,35,542,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.657258064516129,0.0,0.0,0.0,0.12903225806451613,0.8709677419354839,0.0,27,4,4,0
CM1,AdaBoost-DS,1,309,35,542,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.717741935483871,0.5,0.5,0.5,0.06451612903225806,0.9354838709677419,0.6516853932584269,29,2,2,2
CM1,AdaBoost-SVM,1,309,35,542,0.8,0.8897435897435898,0.8,0.829689608636977,0.717741935483871,0.3333333333333333,0.75,0.46153846153846156,0.1935483870967742,0.8064516129032258,0.77720207253886,25,6,1,3
CM1,AdaBoost-LR,1,309,35,542,0.8,0.8897435897435898,0.8,0.829689608636977,0.7459677419354839,0.3333333333333333,0.75,0.46153846153846156,0.1935483870967742,0.8064516129032258,0.77720207253886,25,6,1,3
CM1,Bagging-RF,1,309,35,542,0.8,0.8200000000000001,0.8,0.809471766848816,0.7661290322580646,0.2,0.25,0.2222222222222222,0.12903225806451613,0.8709677419354839,0.3884892086330935,27,4,3,1
CM1,Bagging-DS,1,309,35,542,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.717741935483871,0.0,0.0,0.0,0.12903225806451613,0.8709677419354839,0.0,27,4,4,0
CM1,Bagging-SVM,1,309,35,542,0.7142857142857143,0.8377142857142857,0.7142857142857143,0.760204081632653,0.7258064516129032,0.2,0.5,0.2857142857142857,0.25806451612903225,0.7419354838709677,0.5974025974025974,23,8,2,2
CM1,Bagging-LR,1,309,35,542,0.7428571428571429,0.842979242979243,0.7428571428571429,0.7810294968189705,0.7338709677419355,0.2222222222222222,0.5,0.3076923076923077,0.22580645161290322,0.7741935483870968,0.6075949367088608,24,7,2,2
CM1,RF,2,309,35,542,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.8064516129032258,0.25,0.25,0.25,0.0967741935483871,0.9032258064516129,0.39160839160839156,28,3,3,1
CM1,DS,2,309,35,542,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.43548387096774194,0.0,0.0,0.0,0.12903225806451613,0.8709677419354839,0.0,27,4,4,0
CM1,SVM,2,309,35,542,0.8,0.8897435897435898,0.8,0.829689608636977,0.8306451612903225,0.3333333333333333,0.75,0.46153846153846156,0.1935483870967742,0.8064516129032258,0.77720207253886,25,6,1,3
CM1,LR,2,309,35,542,0.8,0.8551020408163266,0.8,0.8221879815100154,0.8467741935483871,0.2857142857142857,0.5,0.36363636363636365,0.16129032258064516,0.8387096774193549,0.6265060240963854,26,5,2,2
CM1,AdaBoost-RF,2,309,35,542,0.8,0.8200000000000001,0.8,0.809471766848816,0.7620967741935484,0.2,0.25,0.2222222222222222,0.12903225806451613,0.8709677419354839,0.3884892086330935,27,4,3,1
CM1,AdaBoost-DS,2,309,35,542,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.43548387096774194,0.0,0.0,0.0,0.12903225806451613,0.8709677419354839,0.0,27,4,4,0
CM1,AdaBoost-SVM,2,309,35,542,0.7428571428571429,0.879978354978355,0.7428571428571429,0.7864935064935065,0.6733870967741935,0.2727272727272727,0.75,0.4,0.25806451612903225,0.7419354838709677,0.7459459459459459,23,8,1,3
CM1,AdaBoost-LR,2,309,35,542,0.7428571428571429,0.842979242979243,0.7428571428571429,0.7810294968189705,0.7782258064516129,0.2222222222222222,0.5,0.3076923076923077,0.22580645161290322,0.7741935483870968,0.6075949367088608,24,7,2,2
CM1,Bagging-RF,2,309,35,542,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.6612903225806452,0.5,0.5,0.5,0.06451612903225806,0.9354838709677419,0.6516853932584269,29,2,2,2
CM1,Bagging-DS,2,309,35,542,0.8,0.8200000000000001,0.8,0.809471766848816,0.5887096774193549,0.2,0.25,0.2222222222222222,0.12903225806451613,0.8709677419354839,0.3884892086330935,27,4,3,1
CM1,Bagging-SVM,2,309,35,542,0.7714285714285715,0.8845714285714285,0.7714285714285715,0.8081632653061224,0.7580645161290323,0.3,0.75,0.42857142857142855,0.22580645161290322,0.7741935483870968,0.7619047619047619,24,7,1,3
CM1,Bagging-LR,2,309,35,542,0.7714285714285715,0.8845714285714285,0.7714285714285715,0.8081632653061224,0.8548387096774194,0.3,0.75,0.42857142857142855,0.22580645161290322,0.7741935483870968,0.7619047619047619,24,7,1,3
CM1,RF,3,309,35,544,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7600000000000001,0.2,0.2,0.2,0.13333333333333333,0.8666666666666667,0.325,26,4,4,1
CM1,DS,3,309,35,544,0.7714285714285715,0.8388278388278388,0.7714285714285715,0.7959183673469387,0.7000000000000002,0.3333333333333333,0.6,0.42857142857142855,0.2,0.8,0.6857142857142857,24,6,2,3
CM1,SVM,3,309,35,544,0.6285714285714286,0.8477443609022556,0.6285714285714286,0.6841593780369291,0.7400000000000001,0.25,0.8,0.38095238095238093,0.4,0.6,0.6857142857142857,18,12,1,4
CM1,LR,3,309,35,544,0.6571428571428571,0.8523809523809524,0.6571428571428571,0.7085714285714286,0.7200000000000001,0.26666666666666666,0.8,0.4,0.36666666666666664,0.6333333333333333,0.7069767441860466,19,11,1,4
CM1,AdaBoost-RF,3,309,35,544,0.7428571428571429,0.7627257799671592,0.7428571428571429,0.7523662777900066,0.5366666666666666,0.16666666666666666,0.2,0.18181818181818182,0.16666666666666666,0.8333333333333334,0.3225806451612903,25,5,4,1
CM1,AdaBoost-DS,3,309,35,544,0.7428571428571429,0.8314285714285715,0.7428571428571429,0.774025974025974,0.6833333333333332,0.3,0.6,0.4,0.23333333333333334,0.7666666666666667,0.6731707317073171,23,7,2,3
CM1,AdaBoost-SVM,3,309,35,544,0.5428571428571428,0.8336466165413534,0.5428571428571428,0.6066252587991718,0.6833333333333333,0.21052631578947367,0.8,0.3333333333333333,0.5,0.5,0.6153846153846154,15,15,1,4
CM1,AdaBoost-LR,3,309,35,544,0.5714285714285714,0.838468720821662,0.5714285714285714,0.6332760671336065,0.6766666666666666,0.2222222222222222,0.8,0.34782608695652173,0.4666666666666667,0.5333333333333333,0.64,16,14,1,4
CM1,Bagging-RF,3,309,35,544,0.7428571428571429,0.8314285714285715,0.7428571428571429,0.774025974025974,0.7333333333333334,0.3,0.6,0.4,0.23333333333333334,0.7666666666666667,0.6731707317073171,23,7,2,3
CM1,Bagging-DS,3,309,35,544,0.8285714285714286,0.8571428571428571,0.8285714285714286,0.8399014778325123,0.7533333333333333,0.42857142857142855,0.6,0.5,0.13333333333333333,0.8666666666666667,0.7090909090909091,26,4,2,3
CM1,Bagging-SVM,3,309,35,544,0.6285714285714286,0.8477443609022556,0.6285714285714286,0.6841593780369291,0.7066666666666668,0.25,0.8,0.38095238095238093,0.4,0.6,0.6857142857142857,18,12,1,4
CM1,Bagging-LR,3,309,35,544,0.6571428571428571,0.8523809523809524,0.6571428571428571,0.7085714285714286,0.7133333333333334,0.26666666666666666,0.8,0.4,0.36666666666666664,0.6333333333333333,0.7069767441860466,19,11,1,4
CM1,RF,4,309,35,544,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.9233333333333333,0.4,0.4,0.4,0.1,0.9,0.5538461538461539,27,3,3,2
CM1,DS,4,309,35,544,0.8571428571428571,0.8694581280788177,0.8571428571428571,0.862425709883337,0.7500000000000001,0.5,0.6,0.5454545454545454,0.1,0.9,0.7200000000000001,27,3,2,3
CM1,SVM,4,309,35,544,0.6857142857142857,0.8571428571428571,0.6857142857142857,0.7324192835028748,0.8,0.2857142857142857,0.8,0.42105263157894735,0.3333333333333333,0.6666666666666666,0.7272727272727272,20,10,1,4
CM1,LR,4,309,35,544,0.6857142857142857,0.8571428571428571,0.6857142857142857,0.7324192835028748,0.82,0.2857142857142857,0.8,0.42105263157894735,0.3333333333333333,0.6666666666666666,0.7272727272727272,20,10,1,4
CM1,AdaBoost-RF,4,309,35,544,0.8571428571428571,0.8456221198156683,0.8571428571428571,0.8503773093937029,0.7599999999999999,0.5,0.4,0.4444444444444444,0.06666666666666667,0.9333333333333333,0.5599999999999999,28,2,3,2
CM1,AdaBoost-DS,4,309,35,544,0.7714285714285715,0.8061224489795918,0.7714285714285715,0.786535303776683,0.6166666666666667,0.2857142857142857,0.4,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.5405405405405406,25,5,3,2
CM1,AdaBoost-SVM,4,309,35,544,0.6857142857142857,0.9017857142857143,0.6857142857142857,0.7327502429543246,0.8633333333333334,0.3125,1.0,0.47619047619047616,0.36666666666666664,0.6333333333333333,0.7755102040816326,19,11,0,5
CM1,AdaBoost-LR,4,309,35,544,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.8744588744588745,0.9,0.5,1.0,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.9090909090909091,25,5,0,5
CM1,Bagging-RF,4,309,35,544,0.7142857142857143,0.7551020408163265,0.7142857142857143,0.7331691297208538,0.7466666666666667,0.14285714285714285,0.2,0.16666666666666666,0.2,0.8,0.32000000000000006,24,6,4,1
CM1,Bagging-DS,4,309,35,544,0.8571428571428571,0.8456221198156683,0.8571428571428571,0.8503773093937029,0.8666666666666667,0.5,0.4,0.4444444444444444,0.06666666666666667,0.9333333333333333,0.5599999999999999,28,2,3,2
CM1,Bagging-SVM,4,309,35,544,0.6571428571428571,0.8523809523809524,0.6571428571428571,0.7085714285714286,0.6866666666666668,0.26666666666666666,0.8,0.4,0.36666666666666664,0.6333333333333333,0.7069767441860466,19,11,1,4
