Dataset,RF,DS,SVM,LR,AdaBoost-RF,AdaBoost-DS,AdaBoost-SVM,AdaBoost-LR,Bagging-RF,Bagging-DS,Bagging-SVM,Bagging-LR
CM1,0.8219,0.8113,0.7847,0.7775,0.7991,0.8176,0.7444,0.7757,0.8001,0.8139,0.7872,0.7826
JM1,0.7994,0.7582,0.7202,0.7241,0.7848,0.77,0.7175,0.7275,0.7889,0.7803,0.7192,0.7235
KC1,0.8349,0.8187,0.7536,0.7537,0.8226,0.8245,0.7574,0.7686,0.8244,0.8321,0.7604,0.7599
MC1,0.9921,0.9895,0.9253,0.9296,0.9908,0.99,0.9019,0.8966,0.9918,0.9901,0.9255,0.9296
MC2,0.6829,0.6369,0.6389,0.6511,0.6665,0.616,0.6366,0.6448,0.6684,0.7424,0.6641,0.6642
MW1,0.8486,0.8258,0.7746,0.781,0.8721,0.8206,0.7924,0.7491,0.8483,0.837,0.7836,0.7798
PC1,0.8982,0.8677,0.8459,0.8451,0.8964,0.8804,0.8156,0.7875,0.8903,0.8813,0.8492,0.8421
PC2,0.9805,0.9765,0.9498,0.9373,0.9815,0.9766,0.8849,0.896,0.982,0.9787,0.9482,0.9363
PC3,0.8513,0.8122,0.7831,0.7796,0.8513,0.8419,0.7537,0.7512,0.8252,0.8322,0.7789,0.7758
PC4,0.9024,0.8659,0.8516,0.8464,0.8972,0.8706,0.8163,0.8026,0.8983,0.8881,0.8505,0.8506
